english,phonetic,vietnamese
hello,həˈloʊ,xin chào
goodbye,ɡʊdˈbaɪ,tạm biệt
apple,ˈæp.əl,táo
book,bʊk,sách
accept,/əkˈsept/,"chấp nhận, đồng ý"
access,ˈækses,"truy cập, lối vào"
accommodation,/əˌkɑːməˈdeɪʃn/,"chỗ ở, nơi ăn nghỉ"
according to,/əˈkɔːrdɪŋ tuː/,"theo như, căn cứ vào"
accountant,/əˈkaʊntənt/,kế toán viên
accurate,ˈækjərət,chính xác
address,/əˈdres/,"địa chỉ, phát biểu"
adjust,/əˈdʒʌst/,điều chỉnh
advantage,/ədˈvæntɪdʒ/,lợi thế
advertisement,/ˌædvərˈtaɪzmənt/,quảng cáo
agenda,/əˈdʒendə/,chương trình nghị sự
agree,/əˈɡriː/,đồng ý
announce,/əˈnaʊns/,thông báo
applicant,ˈæplɪkənt,"ứng viên, người nộp đơn"
application,/ˌæplɪˈkeɪʃn/,"đơn xin, ứng dụng"
appliance,/əˈplaɪəns/,"thiết bị, đồ dùng (gia đình)"
appointment,/əˈpɔɪntmənt/,"cuộc hẹn, sự bổ nhiệm"
appreciate,/əˈpriːʃieɪt/,"cảm kích, đánh giá cao"
approve,/əˈpruːv/,chấp thuận
arrangement,/əˈreɪndʒmənt/,"sự sắp xếp, sự chuẩn bị"
article,ˈɑːrtɪkl,"bài báo, điều khoản"
assist,/əˈsɪst/,"hỗ trợ, giúp đỡ"
attach,/əˈtætʃ/,đính kèm
attend,/əˈtend/,tham dự
available,/əˈveɪləbl/,"có sẵn, rảnh rỗi"
benefit,ˈbenɪfɪt,"lợi ích, phúc lợi"
booking,ˈbʊkɪŋ,sự đặt chỗ
branch,/bræntʃ/,chi nhánh
budget,ˈbʌdʒɪt,ngân sách
cancellation,/ˌkænsəˈleɪʃn/,sự hủy bỏ
career,/kəˈrɪr/,sự nghiệp
client,ˈklaɪənt,khách hàng
collect,/kəˈlekt/,"thu thập, lấy"
colleague,ˈkɑːliːɡ,đồng nghiệp
committee,/kəˈmɪti/,ủy ban
communicate,/kəˈmjuːnɪkeɪt/,giao tiếp
company,ˈkʌmpəni,công ty
compare,/kəmˈper/,so sánh
complete,/kəmˈpliːt/,hoàn thành
concern,/kənˈsɜːrn/,"mối quan tâm, sự lo lắng"
conference,ˈkɑːnfərəns,hội nghị
confirm,/kənˈfɜːrm/,xác nhận
congratulate,/kənˈɡrætʃəleɪt/,chúc mừng
consequently,ˈkɑːnsəkwentli,"do đó, kết quả là"
consider,/kənˈsɪdər/,cân nhắc
consult,/kənˈsʌlt/,"tham khảo, hỏi ý kiến"
contract,ˈkɑːntrækt,hợp đồng
convenient,/kənˈviːniənt/,thuận tiện
cooperate,/koʊˈɑːpəreɪt/,hợp tác
cost,kɔːst,"chi phí, tốn kém"
customer,ˈkʌstəmər,khách hàng (mua hàng)
deadline,ˈdedlaɪn,hạn chót
decrease,ˈdiːkriːs,giảm
delivery,/dɪˈlɪvəri/,sự giao hàng
department,/dɪˈpɑːrtmənt/,phòng ban
detail,ˈdiːteɪl,chi tiết
develop,/dɪˈveləp/,phát triển
discount,ˈdɪskaʊnt,giảm giá
document,ˈdɑːkjumənt,tài liệu
due to,/ˈduː tuː/,"do, bởi vì"
durable,ˈdʊrəbl,bền
efficiency,/ɪˈfɪʃənsi/,hiệu suất
employee,/ɪmˈplɔɪiː/,nhân viên
equipment,/ɪˈkwɪpmənt/,thiết bị
estimate,ˈestɪmət,"ước tính, dự toán"
evaluation,/ɪˌvæljuˈeɪʃn/,sự đánh giá
expense,/ɪkˈspens/,chi phí
experience,/ɪkˈspɪriəns/,kinh nghiệm
extension,/ɪkˈstenʃn/,"số máy lẻ, sự gia hạn"
facility,/fəˈsɪləti/,cơ sở vật chất
fee,fiː,phí
financial,/faɪˈnænʃl/,thuộc về tài chính
flexible,ˈfleksəbl,linh hoạt
furthermore,/ˌfɜːrðərˈmɔːr/,hơn nữa
guarantee,/ˌɡærənˈtiː/,"bảo hành, bảo đảm"
headquarters,/ˌhedˈkwɔːrtərz/,trụ sở chính
hire,ˈhaɪər,"thuê, tuyển dụng"
illustrate,ˈɪləstreɪt,minh họa
immediately,/ɪˈmiːdiətli/,ngay lập tức
increase,ˈɪnkriːs,tăng
information,/ˌɪnfərˈmeɪʃn/,thông tin
install,/ɪnˈstɔːl/,lắp đặt
insurance,/ɪnˈʃʊrəns/,bảo hiểm
interview,ˈɪntərvjuː,phỏng vấn
invoice,ˈɪnvɔɪs,hóa đơn
issue,ˈɪʃuː,"vấn đề, phát hành"
launch,lɔːntʃ,ra mắt
location,/loʊˈkeɪʃn/,vị trí
maintenance,ˈmeɪntənəns,sự bảo trì
manager,ˈmænɪdʒər,người quản lý
manufacture,/ˌmænjuˈfæktʃər/,sản xuất
market,ˈmɑːrkɪt,thị trường
measure,ˈmeʒər,"đo lường, biện pháp"
meeting,ˈmiːtɪŋ,cuộc họp
mention,ˈmenʃn/,đề cập
negotiate,/nɪˈɡoʊʃieɪt/,đàm phán
notice,ˈnoʊtɪs,thông báo
operation,/ˌɑːpəˈreɪʃn/,"hoạt động, sự vận hành"
opportunity,/ˌɑːpərˈtuːnəti/,cơ hội
order,ˈɔːrdər,"đơn đặt hàng, ra lệnh"
organization,/ˌɔːrɡənəˈzeɪʃn/,tổ chức
original,/əˈrɪdʒənl/,"nguyên bản, ban đầu"
package,ˈpækɪdʒ,gói hàng
participate,/pɑːrˈtɪsɪpeɪt/,tham gia
payment,ˈpeɪmənt,thanh toán
permit,ˈpɜːrmɪt,"giấy phép, cho phép"
policy,ˈpɑːləsi,chính sách
postpone,/poʊˈspoʊn/,hoãn lại
preferred,/prɪˈfɜːrd/,ưa thích hơn
present,ˈpreznt,"hiện diện, trình bày"
procedure,/prəˈsiːdʒər/,thủ tục
product,ˈprɑːdʌkt,sản phẩm
professional,/prəˈfeʃənl/,chuyên nghiệp
profit,ˈprɑːfɪt,lợi nhuận
promotion,/prəˈmoʊʃn/,"thăng chức, khuyến mãi"
proposal,/prəˈpoʊzl/,đề xuất
purchase,ˈpɜːrtʃəs,"mua, sự mua hàng"
quality,ˈkwɑːləti,chất lượng
range,reɪndʒ,"phạm vi, loại"
receive,/rɪˈsiːv/,nhận
recommend,/ˌrekəˈmend/,"đề xuất, giới thiệu"
refund,ˈriːfʌnd,hoàn tiền
register,ˈredʒɪstər,đăng ký
reliable,/rɪˈlaɪəbl/,đáng tin cậy
request,/rɪˈkwest/,yêu cầu
reserve,/rɪˈzɜːrv/,"đặt trước, bảo tồn"
responsibility,/rɪˌspɑːnsəˈbɪləti/,trách nhiệm
resume,ˈrezuːmeɪ,sơ yếu lý lịch
revenue,ˈrevənuː,doanh thu
schedule,ˈskedʒuːl,lịch trình
security,/sɪˈkjʊrəti/,"an ninh, bảo mật"
seminar,ˈsemɪnɑːr,hội thảo
shipment,ˈʃɪpmənt,lô hàng
solution,/səˈluːʃn/,giải pháp
staff,stæf,đội ngũ nhân viên
statement,ˈsteɪtmənt,"bảng sao kê, tuyên bố"
strategy,ˈstrætədʒi/,chiến lược
submit,/səbˈmɪt/,"nộp, đệ trình"
suggest,/səˈdʒest/,gợi ý
supervisor,ˈsuːpərvaɪzər,người giám sát
supply,/səˈplaɪ/,"cung cấp, nguồn cung"
technical,ˈteknɪkl,thuộc về kỹ thuật
terminate,ˈtɜːrmɪneɪt,chấm dứt
transportation,/ˌtrænspərˈteɪʃn/,vận chuyển
update,ˈʌpdeɪt,cập nhật
vacancy,ˈveɪkənsi,vị trí còn trống
validation,/ˌvælɪˈdeɪʃn/,sự xác nhận
venue,ˈvenjuː,địa điểm (sự kiện)
warranty,ˈwɔːrənti,sự bảo hành
a,/ə/,'một'
abandon,/əˈbændən/,'từ bỏ, ruồng bỏ'
ability,/əˈbɪləti/,'khả năng, năng lực'
able,/ˈeɪbl/,'có thể, có khả năng'
about,/əˈbaʊt/,'về, khoảng'
above,/əˈbʌv/,'ở trên'
abroad,/əˈbrɔːd/,'ở nước ngoài'
absence,/ˈæbsəns/,'sự vắng mặt'
absolute,/ˈæbsəluːt/,'tuyệt đối, hoàn toàn'
absorb,/əbˈsɔːb/,'hấp thụ, thu hút'
abuse,/əˈbjuːs/,'lạm dụng, sỉ nhục'
academic,/ˌækəˈdemɪk/,'học thuật'
accent,/ˈæksent/,'giọng, ngữ điệu'
accept,/əkˈsept/,'chấp nhận'
acceptable,/əkˈseptəbl/,'có thể chấp nhận'
access,/ˈækses/,'truy cập, lối vào'
accident,/ˈæksɪdənt/,'tai nạn'
accompany,/əˈkʌmpəni/,'đi cùng, hộ tống'
according to,/əˈkɔːdɪŋ tuː/,'theo như'
account,/əˈkaʊnt/,'tài khoản, bản kê khai'
accurate,/ˈækjərət/,'chính xác'
accuse,/əˈkjuːz/,'buộc tội, tố cáo'
achieve,/əˈtʃiːv/,'đạt được, thành công'
achievement,/əˈtʃiːvmənt/,'thành tựu'
acid,/ˈæsɪd/,'axit'
acknowledge,/əkˈnɒlɪdʒ/,'thừa nhận, công nhận'
acquire,/əˈkwaɪər/,'thu được, giành được'
across,/əˈkrɒs/,'ngang qua'
act,/ækt/,'hành động, diễn'
action,/ˈækʃn/,'hành động'
active,/ˈæktɪv/,'năng động, tích cực'
activity,/ækˈtɪvəti/,'hoạt động'
actor,/ˈæktər/,'diễn viên nam'
actress,/ˈæktrəs/,'diễn viên nữ'
actual,/ˈæktʃuəl/,'thực tế'
actually,/ˈæktʃuəli/,'thực ra'
ad,/æd/,'quảng cáo'
adapt,/əˈdæpt/,'thích nghi'
add,/æd/,'thêm vào'
addition,/əˈdɪʃn/,'phép cộng, sự thêm vào'
additional,/əˈdɪʃənl/,'thêm vào, bổ sung'
address,/əˈdres/,'địa chỉ, bài diễn văn'
adequate,/ˈædɪkwət/,'đầy đủ'
adjust,/əˈdʒʌst/,'điều chỉnh'
administration,/ədˌmɪnɪˈstreɪʃn/,'sự quản lý, chính quyền'
admire,/ədˈmaɪər/,'ngưỡng mộ'
admit,/ədˈmɪt/,'thừa nhận, cho vào'
adopt,/əˈdɒpt/,'nhận nuôi, áp dụng'
adult,/ˈædʌlt/,'người lớn'
advance,/ədˈvɑːns/,'tiến bộ, ứng trước'
advanced,/ədˈvɑːnst/,'tiên tiến, nâng cao'
advantage,/ədˈvɑːntɪdʒ/,'lợi thế'
adventure,/ədˈventʃər/,'cuộc phiêu lưu'
advertise,/ˈædvətaɪz/,'quảng cáo'
advertisement,/ədˈvɜːtɪsmənt/,'bài quảng cáo'
advice,/ədˈvaɪs/,'lời khuyên'
advise,/ədˈvaɪz/,'khuyên bảo'
